id,backend_id,title,level,slug,paid
1,1,Two Sum,1,two-sum,0
2,2,Add Two Numbers,2,add-two-numbers,0
3,3,Longest Substring Without Repeating Characters,2,longest-substring-without-repeating-characters,0
4,4,Median of Two Sorted Arrays,3,median-of-two-sorted-arrays,0
5,5,Longest Palindromic Substring,2,longest-palindromic-substring,0
6,6,Zigzag Conversion,2,zigzag-conversion,0
7,7,Reverse Integer,2,reverse-integer,0
8,8,String to Integer (atoi),2,string-to-integer-atoi,0
9,9,Palindrome Number,1,palindrome-number,0
10,10,Regular Expression Matching,3,regular-expression-matching,0
11,11,Container With Most Water,2,container-with-most-water,0
12,12,Integer to Roman,2,integer-to-roman,0
13,13,Roman to Integer,1,roman-to-integer,0
14,14,Longest Common Prefix,1,longest-common-prefix,0
15,15,3Sum,2,3sum,0
16,16,3Sum Closest,2,3sum-closest,0
17,17,Letter Combinations of a Phone Number,2,letter-combinations-of-a-phone-number,0
18,18,4Sum,2,4sum,0
19,19,Remove Nth Node From End of List,2,remove-nth-node-from-end-of-list,0
20,20,Valid Parentheses,1,valid-parentheses,0
21,21,Merge Two Sorted Lists,1,merge-two-sorted-lists,0
22,22,Generate Parentheses,2,generate-parentheses,0
23,23,Merge k Sorted Lists,3,merge-k-sorted-lists,0
24,24,Swap Nodes in Pairs,2,swap-nodes-in-pairs,0
25,25,Reverse Nodes in k-Group,3,reverse-nodes-in-k-group,0
26,26,Remove Duplicates from Sorted Array,1,remove-duplicates-from-sorted-array,0
27,27,Remove Element,1,remove-element,0
28,28,Find the Index of the First Occurrence in a String,1,find-the-index-of-the-first-occurrence-in-a-string,0
29,29,Divide Two Integers,2,divide-two-integers,0
30,30,Substring with Concatenation of All Words,3,substring-with-concatenation-of-all-words,0
31,31,Next Permutation,2,next-permutation,0
32,32,Longest Valid Parentheses,3,longest-valid-parentheses,0
33,33,Search in Rotated Sorted Array,2,search-in-rotated-sorted-array,0
34,34,Find First and Last Position of Element in Sorted Array,2,find-first-and-last-position-of-element-in-sorted-array,0
35,35,Search Insert Position,1,search-insert-position,0
36,36,Valid Sudoku,2,valid-sudoku,0
37,37,Sudoku Solver,3,sudoku-solver,0
38,38,Count and Say,2,count-and-say,0
39,39,Combination Sum,2,combination-sum,0
40,40,Combination Sum II,2,combination-sum-ii,0
41,41,First Missing Positive,3,first-missing-positive,0
42,42,Trapping Rain Water,3,trapping-rain-water,0
43,43,Multiply Strings,2,multiply-strings,0
44,44,Wildcard Matching,3,wildcard-matching,0
45,45,Jump Game II,2,jump-game-ii,0
46,46,Permutations,2,permutations,0
47,47,Permutations II,2,permutations-ii,0
48,48,Rotate Image,2,rotate-image,0
49,49,Group Anagrams,2,group-anagrams,0
50,50,"Pow(x, n)",2,powx-n,0
51,51,N-Queens,3,n-queens,0
52,52,N-Queens II,3,n-queens-ii,0
53,53,Maximum Subarray,2,maximum-subarray,0
54,54,Spiral Matrix,2,spiral-matrix,0
55,55,Jump Game,2,jump-game,0
56,56,Merge Intervals,2,merge-intervals,0
57,57,Insert Interval,2,insert-interval,0
58,58,Length of Last Word,1,length-of-last-word,0
59,59,Spiral Matrix II,2,spiral-matrix-ii,0
60,60,Permutation Sequence,3,permutation-sequence,0
61,61,Rotate List,2,rotate-list,0
62,62,Unique Paths,2,unique-paths,0
63,63,Unique Paths II,2,unique-paths-ii,0
64,64,Minimum Path Sum,2,minimum-path-sum,0
65,65,Valid Number,3,valid-number,0
66,66,Plus One,1,plus-one,0
67,67,Add Binary,1,add-binary,0
68,68,Text Justification,3,text-justification,0
69,69,Sqrt(x),1,sqrtx,0
70,70,Climbing Stairs,1,climbing-stairs,0
71,71,Simplify Path,2,simplify-path,0
72,72,Edit Distance,2,edit-distance,0
73,73,Set Matrix Zeroes,2,set-matrix-zeroes,0
74,74,Search a 2D Matrix,2,search-a-2d-matrix,0
75,75,Sort Colors,2,sort-colors,0
76,76,Minimum Window Substring,3,minimum-window-substring,0
77,77,Combinations,2,combinations,0
78,78,Subsets,2,subsets,0
79,79,Word Search,2,word-search,0
80,80,Remove Duplicates from Sorted Array II,2,remove-duplicates-from-sorted-array-ii,0
81,81,Search in Rotated Sorted Array II,2,search-in-rotated-sorted-array-ii,0
82,82,Remove Duplicates from Sorted List II,2,remove-duplicates-from-sorted-list-ii,0
83,83,Remove Duplicates from Sorted List,1,remove-duplicates-from-sorted-list,0
84,84,Largest Rectangle in Histogram,3,largest-rectangle-in-histogram,0
85,85,Maximal Rectangle,3,maximal-rectangle,0
86,86,Partition List,2,partition-list,0
87,87,Scramble String,3,scramble-string,0
88,88,Merge Sorted Array,1,merge-sorted-array,0
89,89,Gray Code,2,gray-code,0
90,90,Subsets II,2,subsets-ii,0
91,91,Decode Ways,2,decode-ways,0
92,92,Reverse Linked List II,2,reverse-linked-list-ii,0
93,93,Restore IP Addresses,2,restore-ip-addresses,0
94,94,Binary Tree Inorder Traversal,1,binary-tree-inorder-traversal,0
95,95,Unique Binary Search Trees II,2,unique-binary-search-trees-ii,0
96,96,Unique Binary Search Trees,2,unique-binary-search-trees,0
97,97,Interleaving String,2,interleaving-string,0
98,98,Validate Binary Search Tree,2,validate-binary-search-tree,0
99,99,Recover Binary Search Tree,2,recover-binary-search-tree,0
100,100,Same Tree,1,same-tree,0
101,101,Symmetric Tree,1,symmetric-tree,0
102,102,Binary Tree Level Order Traversal,2,binary-tree-level-order-traversal,0
103,103,Binary Tree Zigzag Level Order Traversal,2,binary-tree-zigzag-level-order-traversal,0
104,104,Maximum Depth of Binary Tree,1,maximum-depth-of-binary-tree,0
105,105,Construct Binary Tree from Preorder and Inorder Traversal,2,construct-binary-tree-from-preorder-and-inorder-traversal,0
106,106,Construct Binary Tree from Inorder and Postorder Traversal,2,construct-binary-tree-from-inorder-and-postorder-traversal,0
